Form,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
proper,2.8688619499742707,2.5118963385101654,2.158262762483139,2.48867709041543,2.9714822811251214,3.2825311064077174,1.9417054068453188,3.2321215279979003,2.969770754283449,3.951699172010699,1.753335881188354,3.906273939189292
proper,2.8662000143293427,2.5239310015905225,2.164917884939451,2.4995894668227874,2.9811078842328116,3.30013165150123,1.95070270827357,3.247835979486082,2.984638657629476,3.982016706472707,1.7612576358657488,3.934075333541514
proper,2.8658844568114334,2.541024863470856,2.1675974639825926,2.5165280635797727,2.998140482611269,3.3247914892488217,1.9347066596263092,3.2692035683695964,3.0062454068664333,4.014718414618259,1.7600018248945384,3.9666743526772086
proper,2.8871466030205712,2.5759288321520066,2.177937085988353,2.5527803982612705,3.0331094163105696,3.373226277753979,1.9317607059182214,3.3182825953528723,3.051215681176223,4.074341386615048,1.773721654332091,4.033969693733257
proper,2.889750728193993,2.5934467179811613,2.1704126336907144,2.5719337685557986,3.0554702762492623,3.3987312726957875,1.9153683117610574,3.34410804226321,3.0809282068315236,4.105258882316,1.7791618332239643,4.070714707129928
proper,2.88081192780893,2.5944186174474173,2.1512986544854535,2.577111336246359,3.0627717491275015,3.403811901000672,1.898544606806367,3.351155357128935,3.088976814862409,4.107765629685876,1.7733839783651497,4.076919844307865
proper,2.857748274732648,2.581974721668886,2.128823222356211,2.5653238521412316,3.0621877292511637,3.385468429373845,1.8865791622369572,3.3351743310685382,3.0883687020383626,4.0875749674070745,1.7643153993907725,4.05726338009409
proper,2.8515516957507923,2.579014170961721,2.124224919924799,2.566942684253523,3.080765558205838,3.3749191781724113,1.8765617222059203,3.3298285586559646,3.093354354136925,4.071230901887422,1.752626619284067,4.047292262799544
proper,2.8524906363702893,2.5752139847236992,2.1258390996574814,2.5657429123241604,3.092144919357501,3.3734634809153987,1.8798597495316198,3.330880650395077,3.113683766911599,4.060062917295618,1.7503899225636577,4.048978681992798
proper,2.8523362195107613,2.5634419371000234,2.123923105150311,2.5569064953419174,3.097775842200827,3.364619527297471,1.8746023104200282,3.319516568044585,3.1473322101575207,4.047929261848937,1.7445540287020114,4.032509151971027
proper,2.8680627842167343,2.5591898893726976,2.1383774817489276,2.550602833105095,3.1007981221477308,3.3623856105033108,1.8912550140774875,3.3159676513590366,3.158185815923602,4.047526959499183,1.743715137279944,4.029084457388037
proper,2.8736138778268097,2.530245635594179,2.1512263346734013,2.5193222687004635,3.0716155240130365,3.3324665008098036,1.8907375212040505,3.2877156382407398,3.1412908159147617,4.0169889952321745,1.7247431328218645,3.9853777063607105
proper,2.8534014100370992,2.48868549298457,2.144287810604915,2.473461637711294,3.029900443848452,3.282949679567543,1.8863266778707541,3.2343916485465836,3.101546925696365,3.9604698407409042,1.6970119021054832,3.920098304745061
proper,2.9011171901930504,2.5044185301951454,2.192167387386582,2.4851138263665318,3.059503934220277,3.3030719157413815,1.9238642938977168,3.2553212501789526,3.1254430172328713,3.9881526955692173,1.7131221001197474,3.94313856395248
proper,2.932220656032382,2.4870197300950356,2.234750565878756,2.466736502939674,3.062756675548812,3.280583693014306,1.9446781052443989,3.232596964459364,3.1124510179732243,3.96140836201114,1.708948657944108,3.9143312892810482
proper,2.962958581642665,2.4877396253103154,2.268739527993762,2.4664925818063272,3.077389418161485,3.2853353048898395,1.9640951440350694,3.232195766685647,3.1127745514252463,3.9639192096395868,1.7150861686899999,3.913817376187147
proper,2.9486698107347045,2.479525300061744,2.2616767285635806,2.4590751269968223,3.0752406648595554,3.2710108578974735,1.950778636849485,3.2177833482637705,3.0979797270466496,3.942778952984459,1.7185898281995284,3.884956325037304
